Town,Day,Current time,Current Temp.,Current weather feel,Condition,Wind,Humidity,Town,Day,Current time,Date,High temp,Low temp,Wind,Humidity
sofia,25.0,2023-05-25 12:56:23,15°C,Feels like: 15°,Overcast and showers,,94%,sofia,Thu.,2023-05-25 12:56:21,25.05.23,21°,9°,2 m/s,53%
,,,,,,,,sofia,Fri.,2023-05-25 12:56:21,26.05.23,21°,9°,3 m/s,58%
,,,,,,,,sofia,Sat.,2023-05-25 12:56:21,27.05.23,21°,10°,3 m/s,83%
,,,,,,,,sofia,Sun.,2023-05-25 12:56:21,28.05.23,20°,10°,4 m/s,95%
,,,,,,,,sofia,Mon.,2023-05-25 12:56:21,29.05.23,21°,9°,4 m/s,85%
,,,,,,,,sofia,Tue.,2023-05-25 12:56:21,30.05.23,23°,10°,3 m/s,72%
,,,,,,,,sofia,Wed.,2023-05-25 12:56:21,31.05.23,24°,12°,1 m/s,81%
,,,,,,,,sofia,Thu.,2023-05-25 12:56:21,01.06.23,24°,12°,3 m/s,81%
,,,,,,,,sofia,Fri.,2023-05-25 12:56:21,02.06.23,24°,12°,2 m/s,79%
,,,,,,,,sofia,Sat.,2023-05-25 12:56:21,03.06.23,24°,12°,1 m/s,77%
